fly_time:4.091, notolsr:0, recvcountgt:1470, recvcount:7867, z-index:0.2328
fly_time:4.1103, notolsr:0, recvcountgt:1470, recvcount:7867, z-index:0.2382
fly_time:4.1315, notolsr:0, recvcountgt:1470, recvcount:7867, z-index:0.2438
fly_time:4.1506, notolsr:0, recvcountgt:1470, recvcount:7867, z-index:0.2493
fly_time:4.1717, notolsr:0, recvcountgt:1471, recvcount:7870, z-index:0.2512
fly_time:4.191, notolsr:0, recvcountgt:1471, recvcount:7870, z-index:0.2564
fly_time:4.2117, notolsr:0, recvcountgt:1471, recvcount:7870, z-index:0.2615
fly_time:4.2316, notolsr:0, recvcountgt:1472, recvcount:7871, z-index:0.2638
fly_time:4.2516, notolsr:0, recvcountgt:1472, recvcount:7871, z-index:0.2688
fly_time:4.2716, notolsr:0, recvcountgt:1472, recvcount:7871, z-index:0.2757
fly_time:4.2915, notolsr:0, recvcountgt:1472, recvcount:7871, z-index:0.2812
fly_time:4.3113, notolsr:0, recvcountgt:1472, recvcount:7871, z-index:0.2876
fly_time:4.3319, notolsr:0, recvcountgt:1472, recvcount:7871, z-index:0.2933
fly_time:4.3513, notolsr:0, recvcountgt:1472, recvcount:7871, z-index:0.3005
fly_time:4.3713, notolsr:0, recvcountgt:1473, recvcount:7874, z-index:0.3066
fly_time:4.3914, notolsr:0, recvcountgt:1473, recvcount:7874, z-index:0.315
fly_time:4.4122, notolsr:0, recvcountgt:1473, recvcount:7874, z-index:0.3213
fly_time:4.4319, notolsr:0, recvcountgt:1473, recvcount:7874, z-index:0.3277
fly_time:4.4516, notolsr:0, recvcountgt:1473, recvcount:7874, z-index:0.3374
fly_time:4.4719, notolsr:0, recvcountgt:1474, recvcount:7876, z-index:0.3442
fly_time:4.4907, notolsr:0, recvcountgt:1474, recvcount:7876, z-index:0.3523
fly_time:4.5113, notolsr:0, recvcountgt:1474, recvcount:7876, z-index:0.3591
fly_time:4.5321, notolsr:0, recvcountgt:1475, recvcount:7877, z-index:0.3607
